time,flowcount
"22/10/2024, 23:38:43",315
"22/10/2024, 23:38:46",315
"22/10/2024, 23:38:49",315
"22/10/2024, 23:38:52",315
"22/10/2024, 23:38:55",315
"22/10/2024, 23:38:58",315
"22/10/2024, 23:39:01",315
"22/10/2024, 23:39:22",315
"22/10/2024, 23:39:07",315
"22/10/2024, 23:39:10",315
"22/10/2024, 23:39:13",315
"22/10/2024, 23:39:10",315
"22/10/2024, 23:39:19",315
"22/10/2024, 23:39:22",315
"22/10/2024, 23:39:25",315
"22/10/2024, 23:39:28",315
"22/10/2024, 23:39:31",315
"22/10/2024, 23:39:34",315
"22/10/2024, 23:39:37",315
"22/10/2024, 23:39:40",315
"22/10/2024, 23:39:43",315
"22/10/2024, 23:39:46",315
"22/10/2024, 23:39:49",315
"22/10/2024, 23:39:52",315
"22/10/2024, 23:39:55",315
"22/10/2024, 23:39:58",315
"22/10/2024, 23:40:01",315
"22/10/2024, 23:40:22",315
"22/10/2024, 23:40:07",315
"22/10/2024, 23:40:10",315
"22/10/2024, 23:40:13",315
"22/10/2024, 23:40:10",315
"22/10/2024, 23:40:19",315
"22/10/2024, 23:40:22",315
"22/10/2024, 23:40:25",315
"22/10/2024, 23:40:28",315
"22/10/2024, 23:40:31",315
"22/10/2024, 23:40:34",315
"22/10/2024, 23:40:37",314
"22/10/2024, 23:40:40",314
"22/10/2024, 23:40:43",315
"22/10/2024, 23:40:46",315
"22/10/2024, 23:40:49",315
"22/10/2024, 23:40:52",315
"22/10/2024, 23:40:55",315
"22/10/2024, 23:40:58",315
"22/10/2024, 23:41:01",315
"22/10/2024, 23:41:22",315
"22/10/2024, 23:41:07",315
time,flowcount
"22/10/2024, 23:53:25",7
"22/10/2024, 23:53:28",10
"22/10/2024, 23:53:31",17
"22/10/2024, 23:53:34",19
"22/10/2024, 23:53:37",23
"22/10/2024, 23:53:40",27
"22/10/2024, 23:53:43",33
"22/10/2024, 23:53:46",35
"22/10/2024, 23:53:49",43
"22/10/2024, 23:53:52",51
"22/10/2024, 23:53:55",53
"22/10/2024, 23:53:58",53
"22/10/2024, 23:54:01",57
"22/10/2024, 23:54:22",61
"22/10/2024, 23:54:07",63
"22/10/2024, 23:54:10",63
"22/10/2024, 23:54:13",69
"22/10/2024, 23:54:10",71
"22/10/2024, 23:54:19",77
"22/10/2024, 23:54:22",79
"22/10/2024, 23:54:25",79
