time,sfe,ssip,rfip,type
"22/10/2024, 12:12:10",90,10,1.0,0
"22/10/2024, 12:12:13",90,10,1.0,0
"22/10/2024, 12:12:10",90,10,1.0,0
"22/10/2024, 12:12:19",90,10,1.0,0
"22/10/2024, 12:12:22",90,10,1.0,0
"22/10/2024, 12:12:25",90,10,1.0,0
"22/10/2024, 12:12:28",90,10,1.0,0
"22/10/2024, 12:12:31",90,10,1.0,0
"22/10/2024, 12:12:34",90,10,1.0,0
"22/10/2024, 12:12:37",90,10,1.0,0
"22/10/2024, 12:12:40",90,10,1.0,0
"22/10/2024, 12:12:43",90,10,1.0,0
"22/10/2024, 12:12:46",90,10,1.0,0
"22/10/2024, 12:12:49",90,10,1.0,0
"22/10/2024, 12:12:52",90,10,1.0,0
"22/10/2024, 12:12:55",90,10,1.0,0
"22/10/2024, 12:12:58",90,10,1.0,0
"22/10/2024, 12:09:01",90,10,1.0,0
"22/10/2024, 12:09:22",90,10,1.0,0
"22/10/2024, 12:09:07",90,10,1.0,0
"22/10/2024, 12:09:10",90,10,1.0,0
"22/10/2024, 12:09:13",90,10,1.0,0
"22/10/2024, 12:09:10",90,10,1.0,0
"22/10/2024, 12:09:19",90,10,1.0,0
"22/10/2024, 12:09:22",90,10,1.0,0
"22/10/2024, 12:09:25",90,10,1.0,0
"22/10/2024, 12:09:28",90,10,1.0,0
"22/10/2024, 12:09:31",90,10,1.0,0
"22/10/2024, 12:09:34",90,10,1.0,0
"22/10/2024, 12:09:37",90,10,1.0,0
"22/10/2024, 12:09:40",90,10,1.0,0
"22/10/2024, 12:09:43",90,10,1.0,0
"22/10/2024, 12:09:46",90,10,1.0,0
"22/10/2024, 12:09:49",90,10,1.0,0
"22/10/2024, 12:09:52",90,10,1.0,0
"22/10/2024, 12:09:55",90,10,1.0,0
"22/10/2024, 12:09:58",90,10,1.0,0
time,sfe,ssip,rfip,type
"22/10/2024, 12:18:11",25,24,0.08333333333333333,1
"22/10/2024, 12:18:12",60,60,0.03333333333333333,1
"22/10/2024, 12:18:17",97,97,0.020618556701030927,1
"22/10/2024, 12:18:20",134,134,0.014925373134328358,1
"22/10/2024, 12:18:10",291,291,0.006872852233676976,1
"22/10/2024, 12:18:26",469,469,0.0042643923240938165,1
"22/10/2024, 12:18:29",641,641,0.0031201248049922,1
"22/10/2024, 12:18:32",835,835,0.0023952095808383233,1
"22/10/2024, 12:18:35",1055,1055,0.0018957345971563982,1
"22/10/2024, 12:18:38",1226,1226,0.0016313213703099511,1
"22/10/2024, 12:18:41",1473,1473,0.0013577732518669382,1
"22/10/2024, 12:18:44",1644,1644,0.0012165450121654502,1
"22/10/2024, 12:18:47",1863,1863,0.0010735373054213634,1
"22/10/2024, 12:18:50",1918,1918,0.0010427528675703858,1
"22/10/2024, 12:18:53",2163,2163,0.0009246417013407304,1
"22/10/2024, 12:18:56",2409,2409,0.0008302200083022001,1
"22/10/2024, 12:18:59",2578,2578,0.0007757951900698216,1
"22/10/2024, 12:19:10",2826,2826,0.0007077140835102619,1
"22/10/2024, 12:19:22",2996,2996,0.0006675567423230974,1
"22/10/2024, 12:19:08",3243,3243,0.0006167129201356768,1
"22/10/2024, 12:19:11",3409,3409,0.0005866823115283074,1
"22/10/2024, 12:19:12",3657,3657,0.0005468963631391851,1
"22/10/2024, 12:19:17",3751,3751,0.0005331911490269261,1
"22/10/2024, 12:19:20",3788,3788,0.0005279831045406547,1
"22/10/2024, 12:19:10",3824,3824,0.0005230125523012552,1
"22/10/2024, 12:19:26",3884,3884,0.0005149330587023687,1
"22/10/2024, 12:19:29",4050,4050,0.0004938271604938272,1
"22/10/2024, 12:19:32",4236,4236,0.00047214353163361664,1
"22/10/2024, 12:19:35",4464,4464,0.00044802867383512545,1
"22/10/2024, 12:19:38",4632,4632,0.0004317789291882556,1
"22/10/2024, 12:19:41",4874,4874,0.0004103405826836274,1
"22/10/2024, 12:19:44",5052,5052,0.000395882818685669,1
"22/10/2024, 12:19:47",5287,5287,0.0003782863627766219,1
"22/10/2024, 12:19:50",5468,5468,0.000365764447695684,1
"22/10/2024, 12:19:54",5716,5716,0.0003498950314905528,1
"22/10/2024, 12:19:57",5884,5884,0.0003399048266485384,1
"22/10/2024, 12:20:00",6132,6132,0.00032615786040443573,1
"22/10/2024, 12:20:03",6304,6304,0.00031725888324873094,1
"22/10/2024, 12:20:06",6399,6399,0.0003125488357555868,1
"22/10/2024, 12:20:09",6436,6436,0.00031075201988812925,1
"22/10/2024, 12:20:12",6625,6625,0.0003018867924528302,1
"22/10/2024, 12:20:09",6793,6793,0.00029442072721919626,1
"22/10/2024, 12:20:18",7035,7035,0.00028429282160625445,1
"22/10/2024, 12:20:21",7217,7217,0.0002771234585007621,1
"22/10/2024, 12:20:24",7253,7253,0.0002757479663587481,1
"22/10/2024, 12:20:27",7290,7290,0.00027434842249657066,1
"22/10/2024, 12:20:30",7327,7327,0.0002729630135116692,1
"22/10/2024, 12:20:33",7485,7485,0.0002672010688042752,1
"22/10/2024, 12:20:36",7674,7674,0.00026062027625749283,1
"22/10/2024, 12:20:39",7843,7843,0.0002550044625780951,1
"22/10/2024, 12:20:42",8018,8018,0.0002494387627837366,1
"22/10/2024, 12:20:45",8206,8206,0.00024372410431391665,1
"22/10/2024, 12:20:48",8377,8377,0.0002387489554733198,1
"22/10/2024, 12:20:51",8625,8625,0.00023188405797101448,1
"22/10/2024, 12:20:54",8751,8751,0.00022854530910753056,1
"22/10/2024, 12:20:57",8999,8999,0.00022224691632403602,1
"22/10/2024, 12:21:00",9166,9166,0.0002181976871045167,1
"22/10/2024, 12:21:03",9413,9413,0.00021247211303516414,1
"22/10/2024, 12:21:06",9646,9646,0.00020733982998133942,1
"22/10/2024, 12:21:09",9832,9832,0.0002034174125305126,1
"22/10/2024, 12:21:13",10045,10045,0.00019910403185664509,1
"22/10/2024, 12:21:10",10250,10250,0.0001951219512195122,1
"22/10/2024, 12:21:19",10476,10476,0.00019091256204658267,1
"22/10/2024, 12:21:22",10666,10666,0.00018751171948246765,1
"22/10/2024, 12:21:25",10907,10907,0.00018336847895846704,1
"22/10/2024, 12:21:28",10943,10943,0.00018276523805172256,1
"22/10/2024, 12:21:31",10980,10980,0.00018214936247723133,1
"22/10/2024, 12:21:34",11017,11017,0.00018153762367250612,1
"22/10/2024, 12:21:37",11135,11135,0.0001796138302649304,1
"22/10/2024, 12:21:40",11307,11307,0.00017688157778367384,1
"22/10/2024, 12:21:43",11475,11475,0.00017429193899782134,1
"22/10/2024, 12:21:46",11682,11682,0.0001712035610340695,1
"22/10/2024, 12:21:49",11894,11894,0.00016815200941651252,1
"22/10/2024, 12:21:52",12064,12064,0.00016578249336870026,1
"22/10/2024, 12:21:55",12312,12312,0.00016244314489928524,1
"22/10/2024, 12:21:58",12483,12483,0.00016021789633902106,1
"22/10/2024, 12:22:01",12731,12731,0.00015709685020815333,1
"22/10/2024, 12:22:22",12898,12898,0.00015506280043417584,1
"22/10/2024, 12:22:08",13104,13104,0.00015262515262515263,1
"22/10/2024, 12:22:11",13352,13352,0.00014979029358897544,1
